title,price,tourist,dianping,percent,subtitle
<上海迪士尼-华东五市-乌镇双飞6日游>0购2晚五星客栈丨拈花湾华灯夜色汉服游园丨沉浸乌镇昼与夜丨四面环水周庄丨西湖登岛丨旅拍留存时光丨水乡年夜饭,2372,1.3万,3822人,98,长沙出发机票可选| 南京成团| 家庭亲子游 4道江南风味餐 国际五星+网红双客栈
<上海迪士尼+华东六市+绍兴+乌镇+杭州双飞6日游>跟着课本下江南/四大名镇水乡/打卡鲁迅故居三味书屋/夜宿周庄+升宋城千古情酒店/太湖&西湖两次船游,2037,2.8万,9072人,95,长沙出发机票可选| 南京成团| 秦淮十六味 太湖鼋头渚 船游木渎古镇 风车之乡周庄 船游西湖 鲁迅三味...
<上海迪士尼+华东六市+绍兴双飞7日游>跟着课本下江南/四大名镇水乡/打卡鲁迅故居三味书屋/夜宿周庄+升宋城千古情主题酒店/太湖&西湖两次船游/春节预售,2147,2.8万,9078人,95,长沙出发| 南京成团| 秦淮十六味 太湖鼋头渚 船游木渎古镇 风车之乡周庄 船游西湖 鲁迅三味...
<乌镇+西塘1日游>纯玩0购物，乌镇西栅，西塘古镇，5A双水乡，邂逅千年西塘，游魅力乌镇，充实1整天,268,1196,248人,98,杭州出发| 杭州成团| 纯玩0购物 乌镇西栅 西塘古镇 
<华东五市+扬州+ 杭州+乌镇双飞6日游>严选18人团/升温泉，一价全含（夜游乌镇/俯瞰上海夜景/宋城千古情)，0购物，品牌酒店，3水乡/船游西湖，配讲解器,2832,1540,529人,98,长沙出发| 南京成团| 全程品牌住宿 自费全含 精品小团 夜游乌镇西栅 纯玩0购
<华东五市+扬州+乌镇交通自选6日游>严选18人团/升温泉，0购物，品牌酒店，夜游水乡乌镇/船游西湖，一价全含（宋城千古情+俯瞰外滩夜景），24H接送机,2832,1538,529人,98,长沙出发| 南京成团| 全程品牌住宿 纯玩0购 自费全含 夜游乌镇西栅 精品小团
<乌镇-西塘2日游>纯玩0购物，乐享三5A水乡，打卡乌镇东西双栅，邂逅西塘古镇，住5星酒店，吃5星自助餐,458,734,116人,95,夜宿乌镇 五星酒店 打卡乌镇 邂逅西塘 5A双水乡 
<牛轻奢-迪士尼-华东5市双飞7日游>10人VIP纯玩/迪士尼点亮冬日/全程五星&1晚西栅客栈/南博寻宝/拈花湾汉服游园/情迷西塘/二次游船二进西湖/30空座率,3427,2.7万,8945人,95,长沙出发| 南京成团| 精品小团 5A苏州园林 轻奢纯玩0购 搜罗美食 深度漫游 不赶路
<华东五市+绍兴+乌镇+杭州双飞5日游>牛实惠0自费，情迷三大水乡，探鲁迅故居，夜宿周庄，品江南美食,2210,2.7万,8909人,95,长沙出发机票可选| 南京成团| 秦淮小吃 太湖鼋头渚 船游木渎古镇 风车之乡周庄 船游西湖 鲁迅三味书...
<苏州杭州-上海自选交通4日>8人VIP轻奢丨0购0自费丨拙政园+苏博+网红裕兴记丨周庄夜宿贞丰轩丨西栅牛人旅拍丨摇橹船打开西湖秘境丨限定龙井问茶,2544,8930,2632人,98,长沙出发| 上海成团| 定制行程 0购物0自费 精选酒店 小长假出行 苏沪杭
[春节]<华东5市双飞6日>南博探秘国家宝藏丨10人纯玩丨品牌五星/西栅客栈丨西塘乘摇橹船丨二进西湖丨拈花汉服游园赠旅拍丨夫子庙秦淮夜景丨春节逛庙会,2820,2.6万,8561人,95,长沙出发| 南京成团| 精品小团 5A苏州园林 轻奢纯玩0购 搜罗美食 深度漫游 不赶路
<上海迪士尼-华东五市-乌镇双飞7日游>0购2晚五星客栈丨拈花湾华灯夜色汉服游园丨沉浸乌镇昼与夜丨四面环水周庄丨西湖登岛丨旅拍留存时光丨水乡年夜饭,2571,1.3万,3790人,98,长沙出发| 上海成团| 上海迪士尼乐园 亲子游 纯玩无购物
<上海迪士尼+华东六市+扬州+乌镇双飞7日游>18人团/0购0自费，品富春早茶，双水乡&南浔船游观水上婚礼，乘小火车赏江南秋色，宋城千古情&上海夜景,3227,1.1万,3280人,97,长沙出发机票可选| 南京成团| 品扬州早茶 送宋城千古情 环球金融中心 上海迪士尼 0购物0自费
<上海迪士尼+苏沪杭双飞5日游>8人VIP轻奢丨0购0自费丨拙政园+苏博+网红裕兴记丨周庄夜宿贞丰轩丨西栅牛人旅拍丨摇橹船打开西湖秘境丨限定龙井问茶,3480,9806,2853人,96,长沙出发| 上海成团| 上海迪士尼乐园  周庄   乌镇   苏州园林   苏沪杭+水乡
[春节]<杭州-乌镇-苏州-上海双飞5日游>0购物真纯玩丨3晚五星+乌镇集团旗下客栈丨西栅&周庄双水乡+西湖小众登岛丨50高标特色餐丨98满意度丨不走回头路,2060,2.6万,8142人,98,长沙出发机票可选| 杭州成团| 杭州西湖 雷峰塔 杭州宋城 国际五星  纯玩0购物 杭州自由活动
<上海迪士尼+华东六市+扬州+乌镇双飞8日游>会员日拼团减,18人团/0购0自费,富春早茶,乌镇&南浔船游观水上婚礼,乘小火车赏秋色,价值650千古情&上海夜景,3410,1.1万,3056人,97,长沙出发| 南京成团| 品扬州早茶 含宋城千古情 环球金融中心 送夜景秀 上海迪士尼
