name,structure,area,floor,price
家园小区 -滨江广场,3室2厅,137平米,中楼层(共7层) ,76万
晨光小区 -东湖,2室2厅,99.7平米,中楼层(共8层) ,53.8万
旺城天悦 -株洲大道（体育馆）,3室1厅,89.5平米,高楼层(共31层) ,58万
汇隆缤纷世家 -大润发,3室2厅,131平米,高楼层(共18层) ,87.5万
钻石怡园 -奥园城市广场,3室2厅,120平米,低楼层(共6层) ,78万
天泉一品(别墅) -神农城,6室3厅,306平米,低楼层(共3层) ,185万
尚格康桥漫步二期 -高家坳,3室2厅,101.23平米,高楼层(共33层) ,55.8万
株洲奥园养生城 -湖南工业大学,4室2厅,143平米,低楼层(共32层) ,118万
海韵天城 -神农城,3室2厅,120平米,高楼层(共32层) ,88万
奥园广场 -奥园城市广场,3室2厅,103平米,高楼层(共33层) ,77.5万
贺家土村 -贺嘉土,2室1厅,67平米,中楼层(共9层) ,29.8万
花园一村 -长江广场（市政府）,2室2厅,70平米,低楼层(共7层) ,50万
大众家园 -红旗广场,3室2厅,148.69平米,低楼层(共15层) ,73.8万
奥园广场 -奥园城市广场,3室2厅,105.98平米,低楼层(共33层) ,82.8万
城发郦城 -向阳广场,3室2厅,107平米,中楼层(共32层) ,65.6万
制药厂小区 -贺嘉土,2室1厅,67.37平米,中楼层(共5层) ,39.8万
大众家园 -红旗广场,3室2厅,132.65平米,低楼层(共6层) ,70.8万
金街华庭小区 -新华东路,3室2厅,123.44平米,低楼层(共6层) ,62.8万
东部美的城1期 -向阳广场,3室2厅,114平米,中楼层(共33层) ,85万
玫瑰名城玫瑰园 -大润发,2室2厅,93.57平米,中楼层(共6层) ,65万
泉塘花園 -田心,3室2厅,127.53平米,高楼层(共18层) ,70万
华晨庐山大厦 -庐山路,1室1厅,49.88平米,中楼层(共19层) ,29.5万
中建御山和苑 -庐山路,1室1厅,36.22平米,低楼层(共32层) ,28.8万
天香国舍 -株洲大道（体育馆）,2室2厅,90平米,中楼层(共7层) ,57万
玫瑰御园 -湖南工业大学,3室2厅,101平米,中楼层(共28层) ,62万
旺城天悦 -株洲大道（体育馆）,3室2厅,103.8平米,中楼层(共18层) ,82万
顺鑫佳园 -芦淞区,3室2厅,124平米,中楼层(共9层) ,68万
瑞和新城 -醴陵市,3室2厅,116.3平米,高楼层(共6层) ,49.8万
国税新村 -奥园城市广场,3室2厅,115平米,中楼层(共8层) ,62万
奥园广场 -奥园城市广场,3室2厅,113平米,中楼层(共32层) ,85万
株洲恒大华府 -湖南工业大学,3室2厅,90.6平米,低楼层(共27层) ,79万
东部美的城1期 -向阳广场,3室2厅,116.7平米,高楼层(共33层) ,68万
明月湖小区 -神农城,3室2厅,132平米,中楼层(共17层) ,78万
紫东小区 -大润发,2室1厅,81平米,中楼层(共8层) ,44.2万
玫瑰名城紫荆苑 -大润发,3室2厅,136平米,中楼层(共6层) ,78.8万
大江观邸 -株洲大道（体育馆）,3室1厅,86.03平米,低楼层(共33层) ,65.8万
东鼎紫园 -市中心医院,2室2厅,73平米,高楼层(共28层) ,63.8万
建宁巷 -徐家桥商业步行街,2室1厅,50.46平米,中楼层(共5层) ,20.8万
新桂公馆 -大润发,2室2厅,78.8平米,低楼层(共32层) ,58万
铁西社区 -泰山广场,2室1厅,52.79平米,高楼层(共6层) ,33.8万
华晨栗雨香堤 -栗雨（美的城）,2室2厅,72.54平米,低楼层(共20层) ,47.8万
汇侨文化园 -贺嘉土,1室1厅,55平米,高楼层(共31层) ,38万
泉塘花園 -田心,2室1厅,91.7平米,低楼层(共18层) ,42万
翠谷城 -栗雨（美的城）,3室2厅,95平米,高楼层(共31层) ,68.5万
北山一村 -田心,2室1厅,58平米,中楼层(共5层) ,22万
天润天城 -新华东路,2室2厅,76.75平米,高楼层(共30层) ,41.8万
兴业荷塘香榭 -向阳广场,3室2厅,123.5平米,中楼层(共6层) ,66万
新桂广场新桂都 -大润发,2室2厅,85平米,高楼层(共18层) ,62万
枫林绿洲 -庆云山,3室2厅,129平米,低楼层(共12层) ,69.8万
东方明园 -向阳广场,2室2厅,88平米,中楼层(共7层) ,50.5万
朝阳小区(荷塘区) -荷塘大道,2室2厅,63平米,中楼层(共5层) ,23万
东部美的城1期 -向阳广场,3室2厅,113.83平米,中楼层(共34层) ,75万
广阅阁 -新华东路,3室2厅,123.9平米,低楼层(共6层) ,58.8万
康桥美郡 -湖南工业大学,2室1厅,88.98平米,低楼层(共20层) ,68万
中建江湾壹号 -湖南工业大学,3室1厅,103.97平米,高楼层(共33层) ,68.8万
中欧昆仑首府 -株洲大道（体育馆）,3室2厅,114.91平米,高楼层(共33层) ,98万
幸福村(解放街) -徐家桥商业步行街,2室1厅,57平米,中楼层(共5层) ,23万
中建江湾壹号 -湖南工业大学,4室2厅,131平米,高楼层(共33层) ,80.8万
美的翰城 -株洲西站,4室2厅,130.29平米,低楼层(共33层) ,115.8万
中房·金色荷塘 -大润发,3室2厅,133.4平米,高楼层(共18层) ,92万
庐山恋 -庐山路,4室2厅,165平米,低楼层(共18层) ,98万
美的蓝溪谷 -栗雨（美的城）,3室2厅,109平米,中楼层(共33层) ,70万
印象華都一期 -田心,3室2厅,107平米,低楼层(共33层) ,63.8万
融创提香蓝岸 -栗雨（美的城）,4室2厅,124.6平米,高楼层(共33层) ,78万
经世龙城 -栗雨（美的城）,3室2厅,125平米,中楼层(共17层) ,84万
尚格康桥漫步二期 -高家坳,3室2厅,101.23平米,中楼层(共33层) ,53.5万
四一六小区 -奥园城市广场,2室1厅,52.2平米,高楼层(共6层) ,21万
新桂公馆 -大润发,2室1厅,76.8平米,中楼层(共32层) ,58.8万
旺城天悦 -株洲大道（体育馆）,3室2厅,89.5平米,低楼层(共31层) ,63万
株洲恒大华府 -湖南工业大学,3室1厅,104平米,中楼层(共33层) ,88万
跃进村 -向阳广场,3室2厅,81.87平米,低楼层(共6层) ,46万
亿都铂金时代 -大润发,2室2厅,89.58平米,中楼层(共32层) ,62万
新城首座 -神农城,3室2厅,138平米,高楼层(共28层) ,79.8万
山水洲城 -株洲西站,4室2厅,136.38平米,低楼层(共32层) ,96.8万
神塘冲小区 -田心,3室2厅,120.27平米,中楼层(共7层) ,50万
新苑小区 -田心,4室2厅,156.66平米,高楼层(共6层) ,54万
锦玉华庭 -向阳广场,2室2厅,113.14平米,中楼层(共17层) ,68万
玉兰小区 -田心,2室2厅,71.49平米,高楼层(共7层) ,21万
時代雅園 -株洲北,3室1厅,91.36平米,中楼层(共7层) ,46万
新民村 -田心,3室2厅,130.33平米,中楼层(共8层) ,55万
王塔冲小区 -庆云山,4室2厅,75平米,低楼层(共7层) ,48万
天鹅花园 -天鹅湖公园,4室2厅,160平米,低楼层(共9层) ,86万
嶺秀天下 -荷塘区,3室2厅,108平米,低楼层(共33层) ,62.8万
印象华都二期 -田心,3室2厅,127平米,高楼层(共18层) ,69.8万
天鹅花园 -天鹅湖公园,2室1厅,67平米,中楼层(共8层) ,35万
英伦国际 -株洲县,4室2厅,131平米,高楼层(共19层) ,65万
银苑小区(天元区) -滨江广场,3室2厅,124平米,中楼层(共8层) ,65万
置信逸都花园 -荷塘大道,4室2厅,142平米,低楼层(共12层) ,72.8万
罗马花园小区 -大润发,4室2厅,135.67平米,中楼层(共6层) ,58万
美的翰城 -株洲西站,3室2厅,122平米,高楼层(共31层) ,106.2万
华晨·山水洲城 -株洲西站,3室2厅,111平米,高楼层(共21层) ,66万
株洲市劳动卫生职业病防治中心 -大润发,2室2厅,86平米,高楼层(共6层) ,28万
株洲恒大华府 -湖南工业大学,3室2厅,119.56平米,中楼层(共33层) ,96万
天鹅花园 -天鹅湖公园,2室1厅,64平米,低楼层(共8层) ,31.8万
美的城 -栗雨（美的城）,3室2厅,120平米,中楼层(共33层) ,75.8万
新桂广场新桂都 -大润发,3室2厅,131平米,中楼层(共30层) ,98万
房产大厦 -中心广场,3室2厅,133平米,中楼层(共25层) ,80万
株洲奥园养生城 -湖南工业大学,3室2厅,125平米,低楼层(共33层) ,76万
东部美的城二期 -向阳广场,4室2厅,138.69平米,高楼层(共29层) ,142.8万
新桂公馆 -大润发,2室2厅,78.74平米,低楼层(共32层) ,61万
锦绣香江 -石峰区,4室2厅,149平米,中楼层(共18层) ,92.5万
中建江湾壹号 -湖南工业大学,4室2厅,128平米,低楼层(共33层) ,100万
明月湖小区 -神农城,3室2厅,118平米,高楼层(共17层) ,80万
春江花月 -株洲大道（体育馆）,3室2厅,118平米,中楼层(共7层) ,78万
嶺秀天下 -荷塘区,2室2厅,89.11平米,中楼层(共24层) ,52.8万
玫瑰御园 -湖南工业大学,4室2厅,143.14平米,高楼层(共13层) ,113万
枫林绿洲 -庆云山,3室2厅,116.26平米,高楼层(共7层) ,57万
锦云摩托车城 -龙泉,3室1厅,78.22平米,中楼层(共7层) ,29万
湘银·山水文园 -湖南工业大学,3室2厅,139.18平米,高楼层(共18层) ,76.6万
锦绣香江 -石峰区,3室2厅,103平米,高楼层(共18层) ,63万
庐山恋 -庐山路,4室2厅,147.6平米,中楼层(共15层) ,94万
湖电小区 -醴陵市,2室1厅,85平米,高楼层(共25层) ,37.8万
利江畅园 -奥园城市广场,3室2厅,138.17平米,低楼层(共7层) ,80.8万
天台小区 -神农城,3室2厅,126平米,中楼层(共7层) ,66万
金旺商厦 -徐家桥商业步行街,2室2厅,91.56平米,中楼层(共7层) ,43万
新桂广场新桂都 -大润发,2室2厅,85.53平米,高楼层(共30层) ,57.8万
福泰国际 -庐山路,3室2厅,140.28平米,中楼层(共17层) ,90.8万
福泰国际 -庐山路,4室2厅,141.11平米,高楼层(共17层) ,108万
玉兰小区 -田心,2室2厅,82.22平米,高楼层(共7层) ,30万
郊区经委住宅楼 -天鹅湖公园,3室2厅,121.05平米,中楼层(共7层) ,46.8万
大江观邸 -株洲大道（体育馆）,4室2厅,120平米,中楼层(共33层) ,105万
金碧禦瓏 -庆云山,3室2厅,125.9平米,中楼层(共33层) ,130万
红旗中路29号 -大润发,2室2厅,80.73平米,中楼层(共8层) ,48.8万
华晨·庐山春天 -庐山路,4室3厅,232.49平米,高楼层(共18层) ,168万
石峰头一村 -石峰公园,2室2厅,75.9平米,低楼层(共7层) ,37万
东湖名居小区 -东湖,3室2厅,172.4平米,中楼层(共22层) ,100万
