attribute_text,company_href,company_name,companytype_text,job_href,job_name,jobwelf,providesalary_text,updatedate,workarea_text
"深圳-南山区,无需经验,大专,招3人",https://jobs.51job.com/all/co6113880.html,成都优格瑞得科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/126235817.html?s=01&t=0,数据分析工程师（双休+14薪）,五险一金 绩效奖金 项目奖金 14薪 弹性工作 周末双休 员工旅游 大牛带队,4-8千/月,12-16,深圳-南山区
"深圳,2年经验,本科,招若干人",https://jobs.51job.com/all/co2829670.html,深圳市万全智策企业管理咨询服务股份有限公司,民营公司,https://jobs.51job.com/shenzhen/121189548.html?s=01&t=0,数据挖掘工程师（舆情监控方向）,五险一金 员工旅游 绩效奖金 餐饮补贴 专业培训 年终奖金 下午茶 生日会,1-2.5万/月,12-15,深圳
"深圳-福田区,1年经验,本科,招1人",https://jobs.51job.com/all/co3922972.html,深圳市亚势力广告有限公司,民营公司,https://jobs.51job.com/shenzhen-ftq/115449180.html?s=01&t=0,PHP开发工程师,五险一金 定期体检 弹性工作 员工旅游 年终奖金 节日福利 节日慰问金 祝贺慰问金 不定期聚餐 下午餐,1-1.5万/月,12-15,深圳-福田区
"深圳-龙岗区,1年经验,本科,招2人",https://jobs.51job.com/all/co4642973.html,深圳市海拓创新科技有限公司,民营公司,https://jobs.51job.com/shenzhen-lgq/126001771.html?s=01&t=0,IT技术支持,专业培训 员工旅游 年终奖金 弹性工作 全勤奖 下午茶 公司聚餐 定期体检 社保补贴,1.2-1.5万/月,12-15,深圳-龙岗区
"深圳-宝安区,1年经验,大专,招2人",https://jobs.51job.com/all/co6092369.html,深圳抖屏科技有限公司,民营公司,https://jobs.51job.com/shenzhen-baq/126229040.html?s=01&t=0,数据分析/挖掘无人驾驶方向,五险一金 交通补贴 绩效奖金 年终奖金 餐饮补贴 补充公积金 通讯补贴 股票期权 定期体检 团建旅游,0.8-1万/月,12-15,深圳-宝安区
"深圳-南山区,3-4年经验,本科,招2人",https://jobs.51job.com/all/co4254486.html,深圳金蝶账无忧网络科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/121355311.html?s=01&t=0,Web前端开发工程师,,1.3-2万/月,12-15,深圳-南山区
"深圳,3-4年经验,本科,招1人",https://jobs.51job.com/all/co2995636.html,深圳市捷晶能源科技有限公司,民营公司,https://jobs.51job.com/shenzhen/127580143.html?s=01&t=0,信息专员,五险一金 节日福利 专业培训 年度体检 年终奖金 周末双休 餐饮补贴,0.8-1.5万/月,12-14,深圳
"深圳,在校生/应届生,本科,招2人",https://jobs.51job.com/all/co2284185.html,深圳市乐思软件技术有限公司,民营公司,https://jobs.51job.com/shenzhen/80008518.html?s=01&t=0,PHP开发工程师（应届）,五险一金 绩效奖金 定期体检 员工旅游 补充医疗保险 通讯补贴 出国机会 年终奖金,8-9千/月,12-14,深圳
"深圳-南山区,3-4年经验,本科,招2人",https://jobs.51job.com/all/co6240664.html,深圳金蝶账无忧网络科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/127587605.html?s=01&t=0,Web前端开发工程师,五险一金 免费班车 员工旅游 专业培训 弹性工作 年终奖金,1.3-2万/月,12-13,深圳-南山区
"深圳-南山区,在校生/应届生,大专,招若干人",https://jobs.51job.com/all/co6209470.html,深圳点猫科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/127293990.html?s=01&t=0,少儿编程实习老师（提供转正机会）,带薪年假 五险一金 节日福利 专业培训 绩效奖金 年终奖金 餐饮补贴 员工旅游,6-8千/月,12-12,深圳-南山区
