name,salary,edu,exp,demand,classification,treatment,time,detail,com_name,industry,people_num,address,introduce,city
前端工程师,3500-7000元/月,学历不限,经验不限,招 3人,WEB前端开发,五险一金饭补交通补助,2020-09-20发布,"
                    1.能够利用HTML+CSS实现结构搭建合理、兼容性好、扩展性强、有利于前后台的数据交互的前端网页。2. 能够利用原生JavaScript实现复杂的前端网页交互效果，能够运用JavaScript高级知识优化代码性能。3. 在实际项目开发中，能够运用各种各样的前端框架进行快速开发，比如animate.css、Vue.js、jQuery.js等，要求前端开发工程师需具备一定的学习与阅读文档的能力，这样才能够胜任各种前端新框架的应用。
                ",上海万桥信息科技有限公司,计算机软件+IT服务/系统集成,1-49人,上海-浦东-航头 	上海浦东航头沈杜公路118号118空间创意园,"
                    上海万桥信息科技有限公司具备独立自主的设备智能化平台，致力于连接消费者、制造品牌、OEM厂商和零售连锁的智能化需求，为客户提供一站式工业设备物联网的解决方案，并且涵盖了硬件接入、云服务以及App软件开发三方面，形成工业物联 制造业的服务闭环。
                ",上海
前端工程师,8000-10000元/月,学历不限,经验不限,招 1人,WEB前端开发,五险一金周末双休,2020-09-15发布,"
                    工作内容：前端页面设计和开发职位要求：熟悉VUE框架， javascript html工作时间：
                ",上海济士智能科技有限公司,IT服务/系统集成,1-49人,上海-浦东-张江	上海浦东新区芳甸路,"
                    初创企业， 希望大家一起打拼的来加入我们
                ",上海
前端工程师,薪资面议,本科,3-5年,招 若干人,WEB前端开发,免费培训,2020-11-20发布,"
                    1、熟练掌握react前端框架，熟悉Ant-Design组件库及DVA2、精通HTML5、JavaScript、CSS技术，熟练掌握HTML中各元素及其属性，并能合理运用；3、熟悉各主流移动浏览器（IE6/7/8/9/10、360、遨游、Google Chrome、FireFox、Safari）之间的差异性，能快速定位、解决开发中遇到的浏览器兼容性问题；4、熟悉常用的Web前端优化方法
                ",上海新微芑宣物联网有限公司,媒体传播+咨询/顾问,1-49人,上海-浦东-唐镇	上海市浦东新区顾唐路1699号,"
                    爱配套平台(www.ipeitao.com)是现代电子商务与传统经营模式结合的产物,主要为企业提供产品销售丶采购自动配套服务丶把企业所需的供应商丶采购商紧密配套起来,让企业上通全国供应商,下通全国采购商,使企业对上下游商家的开发了如指掌,用较便宜的销售成本把公司的产品定向传达给成千上万长期配套的客户,让客户主动来找你做生意,避免因熟人欠款的现象,迅速扩大市场占有率及打响品牌和知名度,同时使企业在众多供应商中选择较便宜适合公司发展的原料及配套供应商.并为企业提供销售丶出口等系列增值服务的一站式平台丶以独有的信息丶新型的模式丶快捷方便为企业创造高收益.
                ",上海
web前端（可兼职）,薪资面议,大专,3-5年,招 1人,WEB前端开发,五险一金朝九晚六做六休一,2020-11-28更新,"
                    工作内容：职位要求：网站网页制作，编辑排版1、熟练掌握PHP软件开发、MySQL 数据库使用;2、熟练掌握MVC架构、ThinkPHP框架结构;3、熟练掌握CSS、JS、jQuery、bootstrap等 网页设计；工作时间：朝九晚六，做六休一
                ",上海忻怡网络科技有限公司,中介/专业服务,500-999人,上海-嘉定-江桥新城	上海市嘉定区丰华路777号,"
                    老板使用58APP商家版发布该职位，招人的诚意大到无需描述，赶快来应聘吧。
                ",上海
前端工程师,薪资面议,本科,经验不限,招 若干,WEB前端开发,,2020-07-24发布,"
                    1. 负责基于 Node.js 的应用开发，打造适合网络安全各业务场景的企业级应用框架；2. 熟练使用 ElasticSearch、 MongoDB及MySQL等关系型非关系型数据库；3. 负责 各类网络安全解决方案的Web 前端研发；
                ",上海奇甲信息科技有限公司,其他行业,1-49人,上海-杨浦-五角场	上海市杨浦区国泰路11号,"
                    老板使用58APP商家版发布该职位，招人的诚意大到无需描述，赶快来应聘吧。
                ",上海
前端工程师,5000-8000元/月,本科,经验不限,招 1人,WEB前端开发,五险一金年底双薪周末双休,2020-09-24更新,"
                    岗位职责：1、利用HTML5相关技术开发移动平台的web前端页面效果实现；2、根据产品设计实现页面交互，与后台工程师共同实现产品功能，完成数据交互、动态信息展现；3、协助设计师实现页面及交互，协助产品完善需求，提供技术实现方案；4、优化代码及实现技术，提高页面性能；5、需有layui项目工作经验。任职要求：1、有JavaScript开发工作经验；2、熟悉HTTP协议、W3C标准，能书写兼容主流浏览器并且能够良好的适配各个尺寸移动设备；3、熟练掌握前端开发技术(HTML5、JS、Ajax、Json、XHTML、CSS)，了解各项技术的相关标准，并严格按照标准进行开发；4、熟悉javascript设计模式 能以模块化进行程序开发；熟悉主流Javascript MVC框架，如reactjs AngularJS Backbone.js，有 Vue.js开发经验者优先录用；5、对任意一门非Web前端脚本的语言（如Java、PHP、C、Python ）有一定的了解程度；     6、对HTML5技术领域、新兴Web标准和Web发展趋势有良好洞察力和极高的关注度，有强烈的求知欲；7、具有android、iphone、ipad等智能手机和平板开发经验优先考虑8、良好的编程习惯和团队协作精神，工作积极上9、应届生亦可工作时间：9:00-17:30
                ",上海朗通科技有限公司,其他行业,50-99人,上海-普陀	上海普陀区真北路3233号吉曼商务中心3F301室,"
                    公 司 简 介 上海朗通科技有限公司成立于1999年，是国内较早从事车辆出入管理系统和一卡通系统的产品开发及工程实施的拥有自主知识产权的高科技企业之一。 公司通过了ISO9001:2000企业质量管理体系 ；停车场管理系统和门禁管理系统产品分别通过了国家和公安部安全防范报警系统产品质量监督检验测试中心的检测。报告编号分别为：公沪检063016、公沪检073009. 公司的远距离感应读头产品通过了上海无委无线电检测实验室的检测，证明产品的工作频段是在允许范围内的，可以使用的，辐射是极小的，对人体没有任何危害。 公司同时还是上海电子制造行业协会智能化设备专业委员会团体会员和上海市停车服务业行业协会会员。 从较初的引进国外先进产品，作为荷兰环球停车系统有限公司（WPS）和西班牙伊佩斯库智能系统有限公司（IBERSEGUR）的国内代理商，在与外商的合作中积累了大量的产品研发、工程实施等方面的经验。 此后联合上海海事大学、交通部上海船舶研究所共同开发基于德国BOSCH公司的CAN总线技术的车辆出入管理设备和感应式一卡通设备，上海朗通科技有限公司一直定位于国内高端的市场，为高端的用户提供高性能的产品。 公司的门禁、考勤、消费和巡更等一卡通系列产品，数十种型号和功能可根据要求及外观爱好进行选择。如IC卡门禁、ID卡门禁、指纹门禁、正方形、长方形等等。 公司的停车场管理设备基于工业控制、船舶控制的要求开发，所有机柜外表经过特殊喷塑处理，满足在室外恶劣环境下的工作； 公司的自动闸门机具有四大款、十多种类型；每一款除了外观各不相同，功能也各不相同；有变频控制可调速自动闸门机、普通智能型自动闸门机、静音型可更换门臂方向的自动闸门机以及适用于高速公路的快速自动闸门机，完全符合用户实际需求而设计。 数年来，上海朗通科技有限公司为国家重点工程洋山深水港港区指挥大楼、超五星级上海红塔大酒店、国内*座具有BMS系统集成的上海期货交易大厦，以及浙江移动大厦、浙江省地税局大厦、浙江能源大厦等建筑提供了性能优良的车辆出入管理系统。 近年来，因为国内房地产行业发展迅速，我们在完成大型公建项目所需的一卡通系统的基础上也逐步向高档的住宅小区提供我们的产品和服务。 我们能为用户提供从系统设计一直到安装调试开通的全方位服务，更具有良好的售后服务能力。 我们更愿意为用户提供较符合用户需求的产品和系统组合，以达到经济实惠的目的。 上海朗通科技有限公司的客户服务三部曲是： 售前：提供完整的系统方案； 售中：提供高质量的设备； 售后：提供快速、优质的服务。 上海朗通科技有限公司致力于提供客户较好的服务。 A．服务内容： 1、提供设备至业主 地点。 2、提供系统所须的土建、管线及安装等的要求； 3、配合设计院做好设计图纸； 4、提供所供设备的安装、接线及系统调试。 5、提供管理/操作人员的培训直至正确使用。 6、提供产品的一年免费保修。 7、提供所供设备的技术文件、操作手册。   “永远为客户提供较好的服务”是我们的宗旨，上海朗通科技有限公司愿在不断创新的基础上，与社会各界同仁一起为建立及拥有一个完善的智能化系统而努力。
                ",上海
前端开发工程师,10000-15000元/月,大专,1-2年,招 1人,软件工程师,五险一金周末双休,2020-10-09更新,"
                    工作职责：1、业务模块前端代码开发；2、配合后端工程师进行应用系统整合及开发；3、持续优化前端代码，提高前端的用户体验；4、协助完成项目的测试、系统交付工作，对项目实施提供支持。任职要求：1、专科及以上学历，2年以上前端开发工作经验，能独立完成前端任务开发；2、精通Javascript、CSS、HTML、DOM等基础前端技术，掌握前端框架React，有组件开发经验；3、掌握Three.js/D3/Echart等相关技术，有WebGL开发经验；4、熟练掌握Webpack构建工具的使用和配置；5、具有技术激情和良好的学习能力，熟练软件项目开发流程、具备较强的团队合作精神。工作时间：周一至周五  9：00-18：00
                ",上海远洲核信软件科技股份有限公司,咨询/顾问 +其他行业,1-49人,上海-闵行-虹桥	上海闵行虹桥吴中路1235号,"
                    晨兴集团成立于1986年，由 的陈氏家族创立，在世界各地均拥有广泛的商业投资项目。晨兴集团进入中国几十年来，不仅已发展了造纸、发电、印刷机械、洗涤设备、建筑材料、钢结构等行业的投资项目，而且，还致力于高科技、广告媒体、医疗卫生/生物制品、交通等领域的投资。
                ",上海
前端开发工程师,15000-30000元/月,本科,3-5年,招 3人,WEB前端开发,五险一金周末双休年底双薪饭补,2020-11-24更新,"
                    职位要求：1、一本以上，计算机相关专业；2、有3年以上前端项目开发经验(有完整项目开发案例较好)3、有小程序研发经验，熟悉使用前端框架vuejs或者angularjs等, API吸组件,精通JS4、熟悉html5,css35、了解现在流行前端框架vuejs等6、熟练使用javascript, HTML, CSS等语言;7、能协作完成微信小程序的搭建和开发;8、在Github、Gitee或者Coding等账户上传过代码
                ",成都梁臻信息科技有限公司,互联网/电子商务+计算机软件,500-999人,上海-闵行-江川路	上海市闵行区紫月路1000号东软软件园,"
                    梁臻隶属于上海心莲信息科技有限公司，上海心莲信息科技是一家互联网公司，2016年8月在上海创立，位于上海市闵行区紫月路1000号。旗下核心品牌是“幸福订制”，致力于向优质单身男女提供创新的优质产品，帮助其找到另一半。当前产品用户总量近亿，短短3年用户呈井喷式增长。目前开启上海地区的招募工作，诚聘有志之士加入我们的团队，心莲科技未来定会成为互联网婚恋新秀品牌，成为婚恋领域的全能创领者。
                ",上海
前端开发经理助理,薪资面议,本科,3-5年,招 若干人,WEB前端开发,,2020-08-11更新,"
                    要求：1. 211/985学历，1-7年经验。2.必须有移动端前端开发经验。3.男女不限。4.技术栈：VUE。5.33以内位职责：1、根据设计需求，完成页面交互效果开发；2、据项目需要安排自己的开发计划，并按计划按质量交付所分配工作；3、配合产品、测试完成项目开发迭代，解决问题，优化和提升用户体验；4、完成上级交代的其他工作。岗位要求:1、本科及以上学历，计算机相关专业优先，具有前端开发实际项目经验一年以上；2、基本功扎实，精通Vue，ES6等Web开发技术，实际使用Vue开发过项目，具备移动端开发能力优先；3、了解npm，Gulp、Webpack 等前端自动化构建工具，对前端性能优化有一定的理解；4、具有良好的代码风格和编程习惯。5、熟练掌握手机端html5页面开发，了解目前混合App的开发方案；6、了解各种浏览器的兼容性及解决方案，熟悉浏览器调试；7、对用户体验、交互操作流程、及用户需求有一定理解，对前端开发有浓厚兴趣；8、具有良好的沟通能力和团队合作精神、优秀的分析问题和解决问题的能力。工作地址：上海长宁区仙霞路18号
                ",上海楚赞网络科技有限公司,其他行业,1-49人,上海-长宁-仙霞	上海市长宁区仙霞路620弄-2-～34号,"
                    老板使用58招人神器发布该职位，公司招人的诚意大到无需描述，赶紧来应聘吧。
                ",上海
前端开发工程师,12000-20000元/月,大专,3-5年,招 2人,WEB前端开发,五险一金周末双休交通补助饭补,2020-10-29更新,"
                    关于我们：www.5173.com（中国网络游戏服务网）是中国成立较早（2003年），规模较大的专业游戏交易平台，用户超过一亿，涵盖了500多家游戏运营商。在东京、新加坡、 、上海、浙江员工600余人。中国互联网百强企业、中国电子商务百强企业、浙江省高新技术百强企业。多次获得“较佳雇主”称号，我们的目标是客户满意度120%，员工满意度120%。目前正在拓展日本、美国、 、韩国等*市场。好了，说重点了！我们要招聘优秀的 前端开发工程师招聘岗位：前端开发工程师招聘人数：1工作地点1：上海（苏州河边5A级写字楼，云岭东路599弄，1000平米）工作地点2：金华（核心地带，市政府旁边，宝莲大厦4000平米）薪资待遇：市场标准或原薪资的150%工作时间：行政班如果您有前端开发相关工作经验，请将简历投递上传至网站，期待您的加入！工作内容：根据产品需求完成PC端和移动端的开发和维护； 　　任职要求：1、有前端开发工作经验；2、熟练运用主流的JS开发框架，如：jQuery、Zepto、Angular、Vue、React等；再说一次重点！我们要优秀的前端开发工程师，月给为市场水平或者原薪资的150%。这样工资高，福利高，有施展才能的空间，公司位置便利的工作去哪里找？快来加入我们吧！请您将简历上传网站并投递，期待您的加入！没骗你吧是不是钱多福利高有成就感
                ",酷宝信息技术（上海）有限公司,互联网/电子商务+游戏,500-999人,上海-普陀-长风	云岭东路599弄20号4楼,"
                    老板使用58招人神器发布该职位，公司招人的诚意大到无需描述，赶紧来应聘吧。
                ",上海
