书名,作者,出版社,出品方,副标题,原作名,出版年,页数,定价,装帧,丛书,ISBN,豆瓣评分,评价数,常用标签
Designing Data-Intensive Applications,Martin Kleppmann,O'Reilly,,The,,2017-4-2,614,USD,Paperback,,9781449373320, 9.7 ,700,['分布式', '大数据', '系统设计', '计算机', '架构', 'data', 'architecture', "O'Reilly"]
Java并发编程之美,翟陆续,,博文视点,,,2018-10,356,89,,,9787121349478, 8.1 ,63,['Java', '并发', '编程', '计算机', 'java', '软件开发', '阿里巴巴', '2019']
Orange'S:一个操作系统的实现,于渊,电子工业出版社,,,,2009-6,469,69.00元,平装,,9787121084423, 8.7 ,429,['操作系统', '计算机', 'OS', '编程', '底层', '计算机科学', '开发', 'programming']
JavaScript DOM编程艺术 （第2版）,[英] Jeremy Keith,人民邮电出版社,,,DOM,2011-4,300,49.00元,平装,图灵程序设计丛书·Web开发系列,9787115249999, 8.7 ,1624,['javascript', '前端开发', 'JavaScript', '前端', 'dom', '编程', 'web开发', 'Web']
"笨办法"学Python,王巍巍,人民邮电出版社,,,Learn,2014-11-1,249,CNY,平装,,9787115350541, 7.8 ,660,['Python', '编程', 'python初学', '入门', '计算机', '编程语言', 'python', '计算机科学']
挑战程序设计竞赛,[日]秋叶拓哉,人民邮电出版社,,,プログラミングコンテストチャレンジブック,2013-7-1,414,CNY,平装,,9787115320100, 9.0 ,287,['算法', '编程', 'ACM竞赛', 'ACM', '计算机', '计算机科学', 'Algorithms', 'programming']
游戏引擎架构,[美] Jason Gregory (杰森.格雷戈瑞),电子工业出版社,,,Game,2014-1,800,128.00元,平装,,9787121222887, 9.0 ,336,['游戏引擎', '游戏', '游戏开发', '游戏编程', '编程', '计算机', '计算机图形学', 'C++']
只是为了好玩,Linus Torvalds,人民邮电出版社,图灵教育,Linux之父林纳斯自传,Just,2014-7,255,49.00,平装,,9787115361646, 8.2 ,795,['人物传记', '传记', 'Linus', '计算机', 'Linux', '黑客', '程序人生', '编程']
UNIX环境高级编程,W.Richard Stevens,人民邮电出版社,,第2版,,2006年,758,99.00元,平装,,9787115147318, 9.4 ,2279,['unix', '编程', 'Linux', '计算机', '经典', 'programming', '程序设计', 'C']
汇编语言(第3版),王爽,清华大学出版社,,,,2013-9,337,36.00元,平装,,9787302333142, 9.3 ,373,['汇编语言', '汇编', '计算机', '编程', '计算机科学', '底层', 'Assembly', '计算机系统']
与孩子一起学编程,[美] 桑德Warren Sande,人民邮电出版社,图灵教育,,Hello,2010-11,388,65.00元,平装,图灵程序设计丛书·Python系列,9787115239969, 8.4 ,395,['编程', 'python', '儿童教育', '计算机', 'Python', '程序设计', 'Programming', '教育']
Clean Architecture,[美]
            Robert C·Martin,Prentice,,A,,2017-9-20,432,USD,Paperback,,9780134494166, 8.8 ,145,['架构', '计算机', 'Architecture', '软件工程', '软件开发', '编程', '程序设计', 'programming']
程序员修炼之道,Andrew Hunt,电子工业出版社,博文视点,从小工到专家,The,2011-1,272,55.00元,平装,传世经典书丛,9787121123368, 8.8 ,1055,['编程', '程序员', '计算机', '程序员的修炼之道', '软件开发', '思维', '软件工程', '程序设计']
SQL基础教程,MICK,人民邮电出版社,图灵教育,,,2017-6-1,320,CNY,平装,图灵程序设计丛书·数据库系列,9787115455024, 9.0 ,326,['SQL', '数据库', '数据分析', '计算机', 'MySQL', '计算机科学', '基础', '自学']
图解设计模式,杨文轩,人民邮电出版社,,,,2017-1-1,366,CNY,平装,图灵程序设计丛书·图解与入门系列,9787115439499, 8.7 ,138,['设计模式', '计算机', '编程', '图解系列', 'Java', '计算机科学', '软件开发', '编程艺术']
深入理解Nginx（第2版）,陶辉,机械工业出版社,,模块开发与架构解析,,2016-2,624,99.00元,平装,,9787111526254, 8.7 ,127,['Nginx', '服务器', '计算机', 'nginx', 'Web开发', 'Web', '计算机科学', '技术类']
深入理解Java虚拟机（第2版）,周志明,机械工业出版社,,JVM高级特性与最佳实践,,2013-9-1,433,79.00元,平装,华章原创精品,9787111421900, 9.0 ,1714,['JVM', 'Java', '虚拟机', 'java', '计算机', '编程', '软件开发', '程序设计']
穿越计算机的迷雾,李忠,电子工业出版社,,,,2011-1,255,36.00元,平装,,9787121124273, 9.0 ,414,['计算机', '计算机科学', '计算机入门知识', '科普', '计算机原理', '计算机系统', '编程', '穿越计算机的迷雾']
代码大全,迈克康奈尔,电子工业出版社,,(第2版)(英文版),,2006-12,914,148.00元,平装,,9787121033629, 9.3 ,374,['编程', '代码大全', '软件开发', '计算机', '软件工程', 'Programming', '程序设计', '经典']
C陷阱与缺陷,高巍,人民邮电出版社,,C语言调试指南,C,2008-2-1,172,30.00元,平装,C和C++经典著作,9787115171795, 8.9 ,1362,['C语言', '编程', 'C', '计算机', 'c', 'C/C++', '经典', '程序设计']
现代操作系统（第3版）,陈向群,机械工业出版社,,,Modern,2009-7,582,75.00元,平装,计算机科学丛书,9787111255444, 8.9 ,765,['操作系统', '计算机', '计算机科学', 'OS', '计算机系统', '计算机技术', '编程', 'CS']
大话数据结构,程杰,清华大学出版社,,,,2011-6,440,59.00元,平装,大话系列,9787302255659, 7.9 ,1316,['数据结构', '算法', '计算机', '编程', '程序设计', '计算机科学', '软件开发', '计算机/编程']
编码的奥秘,Charles Petzold,机械工业出版社,,,Code:,2000-9-1,280,24.00,平装,计算机科学丛书,9787111080787, 9.3 ,1385,['计算机', '编码', '计算机科学', '编程', '科普', '入门', '经典', 'programming']
MySQL必知必会,[英] Ben Forta,人民邮电出版社,,,MySQL,2009-1,241,39.00元,,图灵程序设计丛书·数据库系列,9787115191120, 8.4 ,1369,['数据库', 'MySQL', 'mysql', 'SQL', '计算机', '入门', 'Database', '编程']
七周七语言,巨成,人民邮电出版社,,理解多种编程范型,Seven,2012-5-8,246,59.00元,平装,“七周七”系列,9787115276117, 8.1 ,789,['编程语言', '编程', '计算机', '编程范式', 'Programming', '计算机科学', '程序设计', '软件开发']
On Java 8,Bruce Eckel,MindView,,,,2017-6,,$57.00,Ebook,,9780981872520, 9.3 ,53,['Java', 'java', '编程', '计算机', '编程语言', '计算机科学', '软件工程', '外文']
Effective C++,梅耶 (Scott Meyers),电子工业出版社,博文视点,改善程序与设计的55个具体做法(第3版),Effective,2011-1-1,297,65.00元,平装,传世经典书丛,9787121123320, 9.5 ,709,['C++', '编程', 'C/C++', '计算机', 'C++经典', '经典', '程序设计', '计算机科学']
C和指针,Kenneth A.Reek,人民邮电出版社,,,Pointers,2008,448,65.00元,平装,C和C++经典著作,9787115172013, 9.0 ,1461,['C', 'C语言', '编程', '指针', '计算机', '程序设计', 'C/C++', '编程语言']
